"Scientific Name","Common Name","Species Group","Federal Listing Status","Where Listed"
"Cercopithecus erythrogaster","Red-bellied monkey","Mammals","Endangered","Wherever found"
"Cercopithecus erythrotis","Red-eared nose-spotted monkey","Mammals","Endangered","Wherever found"
"Cercopithecus lhoesti","L'hoest's monkey","Mammals","Endangered","Wherever found"
"Cervus alfredi","Visayan deer","Mammals","Endangered","Wherever found"
"Cervus duvauceli","Swamp deer","Mammals","Endangered","Wherever found"
"Cervus elaphus bactrianus","Bactrian deer","Mammals","Endangered","Wherever found"
"Cervus elaphus barbarus","Barbary deer","Mammals","Endangered","Wherever found"
"Cervus elaphus corsicanus","Corsican red deer","Mammals","Endangered","Wherever found"
"Cervus elaphus hanglu","Kashmir stag","Mammals","Endangered","Wherever found"
"Cervus elaphus macneilii","McNeill's deer","Mammals","Endangered","Wherever found"
"Cervus elaphus wallichi","Shou","Mammals","Endangered","Wherever found"
"Cervus elaphus yarkandensis","Yarkand deer","Mammals","Endangered","Wherever found"
"Cervus eldi","Eld's brow-antlered Deer","Mammals","Endangered","Wherever found"
"Cervus nippon grassianus","Shansi sika deer","Mammals","Endangered","Wherever found"
"Cervus nippon keramae","Ryukyu sika deer","Mammals","Endangered","Wherever found"
"Cervus nippon kopschi","South China sika deer","Mammals","Endangered","Wherever found"
"Cervus nippon mandarinus","North China sika deer","Mammals","Endangered","Wherever found"
"Cervus nippon taiouanus","Formosan sika deer","Mammals","Endangered","Wherever found"
"Chaeropus ecaudatus","Pig-footed bandicoot","Mammals","Endangered","Wherever found"
"Chaetocercus berlepschi","Esmeraldas woodstar","Birds","Endangered","Wherever found"
"Chaetomys subspinosus","Thin-spined porcupine","Mammals","Endangered","Wherever found"
"Charadrius melodus","Piping Plover","Birds","Endangered","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)"
"Charadrius melodus","Piping Plover","Birds","Threatened","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered."
"Charadrius nivosus nivosus","Western snowy plover","Birds","Threatened","Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)"
"Chasiempis ibidis","Oahu elepaio","Birds","Endangered","Wherever found"
"Chasmistes brevirostris","Shortnose Sucker","Fishes","Endangered","Wherever found"
"Chasmistes cujus","Cui-ui","Fishes","Endangered","Wherever found"
